Date,Barcelona_Fabra Daily Rainfall [mm],Barcelona Daily Rainfall [mm],Sabadell_Aero Daily Rainfall [mm],Garriga Discharge [m^3],Castellar Discharge [m^3],Llica Discharge [m^3],Montornes Discharge [m^3],Mogoda Discharge [m^3],Gramenet Discharge [m^3]
1/1/2003,0,0,0,0.254,0.0327,0.155,0.3985,0.12,3.6275
1/2/2003,0,0,,0.254,0.0281,0.151,0.3745,0.106,3.9471
1/3/2003,0,0,,0.246,0.0225,0.145,0.375,0.101,4.0174
1/4/2003,0,0,0,0.251,0.03,0.145,0.372,0.099,3.9316
1/5/2003,18.1,16.4,2.1,0.241,0.0328,0.146,0.3686,0.097,3.7913
1/6/2003,1,0.2,4.3,0.644,0.0559,0.205,1.0558,0.516,7.6332
1/7/2003,0,0.5,,0.317,0.039,0.168,0.6,0.189,4.6152
1/8/2003,2.1,1.1,,0.314,0.0386,0.163,0.519,0.159,4.7008
1/9/2003,0,0,,0.309,0.0315,0.158,0.4775,0.138,4.4481
1/10/2003,0,0,,0.309,0.0327,0.153,0.419,0.13,4.3258
1/11/2003,0,0,0.5,0.269,0.0324,0.147,0.374,0.125,3.9437
1/12/2003,0,0,0,0.259,0.0326,0.144,0.3684,0.111,3.6819
1/13/2003,0,0,0,0.259,0.0369,0.138,0.4548,0.111,3.918
1/14/2003,0,0,0,0.264,0.0311,0.136,0.3755,0.118,3.9258
1/15/2003,0,0,0,0.254,0.032,0.134,0.4443,0.115,4.0599
1/16/2003,0,0,0,0.251,0.0314,0.134,0.4105,0.115,3.951
1/17/2003,0,0,0,0.231,0.0311,0.136,0.4418,0.111,3.891
1/18/2003,,0,0,0.241,0.0363,0.132,0.374,0.108,3.6617
1/19/2003,2.2,5,1.4,0.236,0.0366,0.137,0.4113,0.118,3.7636
1/20/2003,1.2,0.8,2,0.236,0.0294,0.132,0.419,0.12,3.891
1/21/2003,0,0,0,0.251,0.0327,0.137,0.432,0.133,4.2605
